id,screenName,userId,timestamp,type,text,userEnteredText,hashtags
1326983989786238976,fgraniglia,118756273,1605212611,tweet,"Speravo che i negazionisti fossero solo dei gran burloni, ma oggi ho incontrato un covidiota vero. #COVID19 #coronavirus","Speravo che i negazionisti fossero solo dei gran burloni, ma oggi ho incontrato un covidiota vero. #COVID19 #coronavirus","['COVID19', 'coronavirus']"
1326977979541491718,BerterameSimona,1245717258,1605211179,tweet,"Caro Tommaso, Babbo Natale è morto. Aveva malattie pregresse ed era molto anziano, mi dispiace. #lockdownitalia #coronavirus #Natale","Caro Tommaso, Babbo Natale è morto. Aveva malattie pregresse ed era molto anziano, mi dispiace. #lockdownitalia #coronavirus #Natale","['lockdownitalia', 'coronavirus', 'Natale']"
1326973086298673154,ILSOB1LL4,606976872,1605210012,tweet,"Mi ricordate per cortesia come funziona il “Modello Svedese” ?

#COVID19 #Svezia #coronavirus","Mi ricordate per cortesia come funziona il “Modello Svedese” ?

#COVID19 #Svezia #coronavirus","['COVID19', 'Svezia', 'coronavirus']"
1326962096165310467,ParmaPartenopea,1264157041,1605207392,tweet,"Misure Anti-Covid,Nuova Ordinanza @RegioneER 
https://t.co/ULdwdHk9sv

#ordinanza #NuovaOrdinanza #regioneemiliaromagna #AntiCovid19 #COVID19 #coronavirus","Misure Anti-Covid,Nuova Ordinanza @RegioneER 
https://t.co/ULdwdHk9sv

#ordinanza #NuovaOrdinanza #regioneemiliaromagna #AntiCovid19 #COVID19 #coronavirus","['ordinanza', 'NuovaOrdinanza', 'regioneemiliaromagna', 'AntiCovid19', 'COVID19', 'coronavirus']"
1326961766971166722,bonebag69,59272021,1605207313,tweet,"Ehi ragazzi ma quanti di voi farebbero l’esperimento di silenziare per un giorno un po’ di hashtag legati alla #pandemia? Intendo cose tipo queste: 
#Dpcm 
#tamponi 
#coronavirusitalIa 
#COVID19 
#coronavirus 
#conte 
#zonagialla 
#zonarossa #zonaarancione","Ehi ragazzi ma quanti di voi farebbero l’esperimento di silenziare per un giorno un po’ di hashtag legati alla #pandemia? Intendo cose tipo queste: 
#Dpcm 
#tamponi 
#coronavirusitalIa 
#COVID19 
#coronavirus 
#conte 
#zonagialla 
#zonarossa #zonaarancione","['pandemia', 'Dpcm', 'tamponi', 'coronavirusitalIa', 'COVID19', 'coronavirus', 'conte', 'zonagialla', 'zonarossa', 'zonaarancione']"
1326953203200626688,bulgi81,593849983,1605205271,tweet,"Non ce ne frega nulla dello shopping prenatalizio e dei cenoni coi parenti. 

CI INTERESSA SOLO POTER ANDARE A SCIARE, PORCA DI QUELLA ZOZZA!!!!!!!

#lockdownitalia 
#COVID19 
#coronavirus","Non ce ne frega nulla dello shopping prenatalizio e dei cenoni coi parenti. 

CI INTERESSA SOLO POTER ANDARE A SCIARE, PORCA DI QUELLA ZOZZA!!!!!!!

#lockdownitalia 
#COVID19 
#coronavirus","['lockdownitalia', 'COVID19', 'coronavirus']"
1326953013257375750,ProtCivPalma,1114473051498995713,1605205226,tweet,"#AvvisoFVG #CoronaVirus
ORDINANZA DEL PRESIDENTE DELLA REGIONE N. 41/PC 2020

Emessa l’ordinanza n. 41/PC 2020 del Presidente della Regione Autonoma Friuli-Venezia Giulia con validità dal 14/11 al 29/11

Link dell’ordinanza FVG ⤵️
https://t.co/keWnloCwEI

#SocialMediaCommunityFVG https://t.co/KPy6ig3CJc","#AvvisoFVG #CoronaVirus
ORDINANZA DEL PRESIDENTE DELLA REGIONE N. 41/PC 2020

Emessa l’ordinanza n. 41/PC 2020 del Presidente della Regione Autonoma Friuli-Venezia Giulia con validità dal 14/11 al 29/11

Link dell’ordinanza FVG ⤵️
https://t.co/keWnloCwEI

#SocialMediaCommunityFVG https://t.co/KPy6ig3CJc","['AvvisoFVG', 'CoronaVirus', 'SocialMediaCommunityFVG']"
1326950743174246400,EnzoSan69,145284956,1605204685,tweet,"#coronavirus #Campania, documento unitario di #CGIL, #CISL, #UIL, #FIALS, #Nursing Up, #FSI #Ospedale #Cardarelli #Napoli: #COVID19 @Drittorovescio_ https://t.co/w4kH5HUipv","#coronavirus #Campania, documento unitario di #CGIL, #CISL, #UIL, #FIALS, #Nursing Up, #FSI #Ospedale #Cardarelli #Napoli: #COVID19 @Drittorovescio_ https://t.co/w4kH5HUipv","['coronavirus', 'Campania', 'CGIL', 'CISL', 'UIL', 'FIALS', 'Nursing', 'FSI', 'Ospedale', 'Cardarelli', 'Napoli', 'COVID19']"
1326941523842396161,EnzoSan69,145284956,1605202487,tweet,"#coronavirus #Campania, documento di #CGIL, #CISL, #UIL, #FIALS, #NURSINGUP, #FSI #Ospedale #Cardarelli #Napoli  
Basta strumentalizzazioni: aiutateci! #COVID19 #noneladurso #NonelArena #Piazzapulita #cartabianca https://t.co/yxRpf7CXhm","#coronavirus #Campania, documento di #CGIL, #CISL, #UIL, #FIALS, #NURSINGUP, #FSI #Ospedale #Cardarelli #Napoli  
Basta strumentalizzazioni: aiutateci! #COVID19 #noneladurso #NonelArena #Piazzapulita #cartabianca https://t.co/yxRpf7CXhm","['coronavirus', 'Campania', 'CGIL', 'CISL', 'UIL', 'FIALS', 'NURSINGUP', 'FSI', 'Ospedale', 'Cardarelli', 'Napoli', 'COVID19', 'noneladurso', 'NonelArena', 'Piazzapulita', 'cartabianca']"
1326934382465200130,NathanDelMare,23926846,1605200784,quote,"Esatto. #coronavirus #COVID19 #coronavirusitalia https://t.co/hWi8fhcSIx
se qualcuno se lo fosse dimenticato https://t.co/ZBttmu5NnI https://t.co/o92vV3Ai6b",Esatto. #coronavirus #COVID19 #coronavirusitalia https://t.co/hWi8fhcSIx,"['coronavirus', 'COVID19', 'coronavirusitalia']"
